Id_reconnaissance	Ref_du_terrier
142	811
151	812
161	821
162	821
171	822
181	831
182	832
191	833
201	841
211	842
221	851
231	852
241	861
251	862
261	863
271	864
281	871
291	872
301	881
311	882
321	911
331	913
341	914
351	922
361	931
362	932
422	1002
441	1011
451	1012
461	1021
471	1022
481	1031
482	1032
491	1033
501	1041
511	1034
521	1051
531	1052
541	1061
551	1072
552	1073
561	1062
571	1063
581	1071
601	1081
611	1082
621	1091
651	1092
661	1101
671	1102
681	1111
691	1112
701	1121
711	1122
721	1131
731	1132
741	1141
743	1142
751	1143
761	1151
771	1152
781	1161
791	1163
792	1171
801	1172
811	1181
821	1182
822	1183
831	1191
841	1192
842	1193
843	1194
851	1201
852	1202
861	1203
862	1204
863	1205
871	1211
873	1213
881	1214
883	1215
1031	1291
1051	1301
1061	1303
1071	1311
1081	1312
1091	1321
1101	1322
1111	1331
1121	1332
1141	1343
1142	1342
1151	1351
1161	1352
1171	1381
1172	1382
1181	1383
1182	1384
1183	1385
1271	341
1272	342
1281	343
1284	345
1291	351
1292	352
1293	353
1301	354
1302	355
1303	356
1311	361
1312	362
1313	363
1314	364
1315	365
1321	366
1322	367
1332	371
1333	372
1341	373
1342	374
1361	382
1371	391
1381	392
1382	393
1383	394
1391	401
1392	402
1401	403
1402	404
1411	411
1421	412
1431	421
1432	422
1441	423
1442	424
1443	425
1451	431
1452	432
1461	433
1462	434
1463	435
1471	443
1472	441
1482	442
1491	451
1492	452
1493	453
1501	454
1502	455
1503	456
1511	461
1521	462
1522	463
1531	471
1541	473
1551	481
1561	482
1571	491
1581	492
1582	501
1583	502
1591	503
1601	551
1611	552
1622	562
1623	561
1631	563
1641	571
1651	572
1661	581
1671	582
1681	611
1691	612
1701	613
1711	614
1721	621
1722	622
1731	623
1741	624
1751	625
1761	651
1762	652
1771	653
1772	654
1773	655
1781	661
1782	662
1791	663
1792	664
1801	671
1802	672
1803	673
1811	674
1812	675
1813	676
1821	681
1822	682
1823	683
1824	684
1831	685
1832	686
1841	691
1842	692
1843	693
1845	694
1851	695
1861	701
1862	702
1871	703
1872	704
1873	705
